stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3245,6552,"Park St and McHenry St",,38.891683,-77.248563,,,,,,1
3246,6553,"Lee Hwy and Eskirdge Rd (EB)",,38.873912,-77.231425,,,,,,1
3247,6554,"Lee Highway and Merrilee Dr",,38.874153,-77.231529,,,,,,1
3248,6555,"Park St and Mchenry St",,38.891647,-77.248377,,,,,,1
3249,6556,"Park St and Adahi Rd",,38.893318,-77.249593,,,,,,1
3250,6557,"Park St and Elmar Dr",,38.896412,-77.253516,,,,,,1
3251,6558,"Park St and Moore Ave",,38.897450,-77.254886,,,,,,1
3252,6559,"Park St and Battle Ct",,38.899650,-77.257766,,,,,,1
3253,6560,"Mill St and Vienna Community Ctr.",,38.900226,-77.260185,,,,,,1
3254,6561,"Center St - opposite of Vienna Town Hall",,38.900911,-77.264314,,,,,,1
3256,6580,"Jeff Todd Way and Telegraph Rd",,38.743961,-77.149833,,,,,,1
3257,6581,"Jeff Todd Way and Mill Towns Ct",,38.720180,-77.134720,,,,,,1
3258,6582,"Jeff Todd Way and Mill Towns Ct",,38.720287,-77.134580,,,,,,1
3259,6583,"Telegraph Rd and Jeff Todd Way Wb",,38.744321,-77.150096,,,,,,1
3260,6584,"Telegraph Rd and Hilltop Village Center",,38.741523,-77.161420,,,,,,1
3261,6585,"Bren Mar Dr and Edsall Rd",,38.802230,-77.148759,,,,,,1
3262,6586,"Bren Mar Dr and Indian Run Pkwy",,38.799457,-77.149318,,,,,,1
3263,6587,"Bren Mar Dr and Indian Run Pkwy",,38.799333,-77.149772,,,,,,1
3264,6588,"Bren Mar Dr and Edsall Rd",,38.802168,-77.148910,,,,,,1
3266,6611,"Park St and Patrick St",,38.888827,-77.243638,,,,,,1
3268,6613,"Beulah Rd Ne and Nelson Dr Ne",,38.910983,-77.263818,,,,,,1
3269,6014,"Machen Rd and Rosy Ln",,38.835225,-77.439751,,,,,,1
3270,6619,"Creek Crossing Rd and Avis Ct",,38.917815,-77.257464,,,,,,1
3271,6620,"S Kings Hwy and Southgate Dr",,38.775151,-77.088700,,,,,,1
3272,6621,"Jeff Todd Way and Pole Rd",,38.723330,-77.136613,,,,,,1
3273,6622,"Jeff Todd Way and Pole R",,38.723101,-77.136099,,,,,,1
3274,6832,"Pohick Rd and Lagrange St",,38.718913,-77.207890,,,,,,2
3275,6833,"Pohick Rd and Lagrange St",,38.719010,-77.207611,,,,,,2
3276,6837,"Westpark Dr and Greensboro Dr",,38.925209,-77.233422,,,,,,2
3277,1193,"Huntington Metro North Bay C",,38.795365,-77.075010,,,,,,0
3278,3485,"Stringfellow Rd and Stream Valley Dr",,38.878178,-77.409004,,,,,,2
3283,6814,"D Street and 9th St SW",,38.884908,-77.023716,,,,,,2
3284,6861,"Dranesville Rd and Ridgegate Dr",,38.988205,-77.377158,,,,,,2
3285,6862,"Dranesville Rd and Ridgegate Dr",,38.988187,-77.376856,,,,,,2
3286,6930,"Centreville Rd and Woodland Park Rd",,38.953512,-77.407249,,,,,,2
3287,6931,"Centreville Rd and Arrowbrook Center Dr",,38.953789,-77.407365,,,,,,2
3288,6932,"Constitution Ave and 12th St SW",,38.892195,-77.029037,,,,,,2
3289,6933,"Constitution Ave and 12th St",,38.891986,-77.027117,,,,,,2
3295,1181,"Franconia-Springfield Metro Bay C",,38.766714,-77.169536,,,,,,0
3296,1182,"Franconia-Springfield Metro Bay D",,38.766699,-77.169208,,,,,,0
3298,5512,"Dolley Madison and Kurtz",,38.940850,-77.173160,,,,,,0
3299,5513,"Dolley Madison and Buchanan",,38.941850,-77.169610,,,,,,0
3300,5514,"Dolley Madison and Outlet",,38.942490,-77.165750,,,,,,0
3301,5515,"Dolley Madison and Ballantrae",,38.941970,-77.160810,,,,,,0
3302,5516,"Dolley Madison and Lynwood Hill",,38.942340,-77.157520,,,,,,0
3303,5517,"Dolley Madison and Dunaway",,38.942820,-77.154590,,,,,,0
3304,5518,"Dolley Madison and Potomac School",,38.943130,-77.152470,,,,,,0
3305,5528,"Dolley Madison and Georgetown",,38.943702,-77.151090,,,,,,0
3306,5529,"Dolley Madison and Dunaway",,38.943100,-77.154740,,,,,,0
3307,5530,"Dolley Madison and Lynwood Hill",,38.942410,-77.158590,,,,,,0
3308,5531,"Dolley Madison and Ballantrae",,38.942290,-77.159820,,,,,,0
3309,5532,"Dolley Madison and Waverly",,38.942760,-77.165700,,,,,,0
3310,5533,"Dolley Madison and Buchanan",,38.942080,-77.169750,,,,,,0
3311,5535,"Dolley Madison Blvd and Madison McLean Dr",,38.941046,-77.173592,,,,,,2
3312,5951,"Stringfellow Rd Park and Ride - Bay C",,38.853044,-77.404056,,,,,,2
3313,6420,"Northern Virginia Community College",,38.763845,-77.174784,,,,,,0
3314,6838,"CIA Langley",,38.947760,-77.145893,,,,,,2
3315,6901,"Museum Of The Army",,38.722059,-77.169704,,,,,,0
3316,6949,"Springfield Center Dr and Tsa",,38.766558,-77.173815,,,,,,0
3317,6950,"Springfield Center Dr Opp Tsa",,38.766795,-77.173761,,,,,,0
3318,7065,"Fairfax County Parkwy At Liberty Dr (Museum Of Army)",,38.721345,-77.173248,,,,,,0
3321,5741,"Loisdale Ct and Loisdale Rd",,38.775197,-77.178416,,,,,,0
3322,5743,"Loisdale Ct and Comfort Inn",,38.776331,-77.178532,,,,,,0
3323,6941,"Walker Ln and Beulah St",,38.769279,-77.154384,,,,,,0
3324,6942,"Walker Lane At 6363",,38.769303,-77.156695,,,,,,0
3325,6943,"Walker Lane At 6354 Opp Innova",,38.768511,-77.160540,,,,,,0
3326,6944,"Springfield Tc Opp Frontier Garage",,38.773212,-77.173325,,,,,,0
3327,6945,"Loisdale Ct and Springfield Hilton",,38.777005,-77.178411,,,,,,0
3328,6946,"Springfield Hilton",,38.776994,-77.177819,,,,,,0
3329,6947,"Loisdale Ct and 6564",,38.775114,-77.178582,,,,,,0
3330,7155,"Wiehle Ave and Baron Cameron Ave",,38.974187,-77.333736,,,,,,0
3331,7156,"Wiehle Ave and Baron Cameron Ave",,38.974196,-77.334038,,,,,,0
3332,7167,"Metropolitan Center Dr and Metropolitan Center Dr",,38.768957,-77.178166,,,,,,0
3333,7168,"Metropolitan Center Dr and Metropoloitan Center Dr",,38.769029,-77.178503,,,,,,0
3334,1037,"Seven Corners Transit Center",,38.870170,-77.152390,,,,,,0
3335,2703,"Little River and Pinecrest Vista",,38.824470,-77.169830,,,,,,0
3336,3763,"Westmoreland and Boxwood",,38.901085,-77.170264,,,,,,0
3337,3764,"Westmoreland and Gordon",,38.899517,-77.169381,,,,,,0
3338,3765,"Westmoreland and Haycook",,38.903354,-77.171779,,,,,,0
3339,3766,"Westmoreland and Moly",,38.901704,-77.170956,,,,,,0
3340,3769,"Westmoreland and Roosevelt",,38.899689,-77.169264,,,,,,0
3343,3772,"Westmoreland and 31St",,38.896550,-77.168079,,,,,,0
3347,3776,"Westmoreland and Thirth Second",,38.897017,-77.168467,,,,,,0
3348,3777,"Westmoreland and Thirth Third",,38.898412,-77.168985,,,,,,0
3349,3778,"Westmoreland and Thirty Third",,38.898115,-77.168707,,,,,,0
3351,3928,"Metro West Falls Ch/Vt-Uva S Bay C",,38.899944,-77.188127,,,,,,0
3352,4324,"Little River and Pinecrest Vista",,38.823480,-77.165860,,,,,,0
3353,4825,"Annandale and Poplar",,38.833900,-77.197170,,,,,,0
3354,4826,"Annandale and Farr",,38.835990,-77.197910,,,,,,0
3355,4827,"Annandale and Beverely Manor",,38.837172,-77.198295,,,,,,0
3356,4828,"Annandale and Walton",,38.839510,-77.199020,,,,,,0
3357,4829,"Annandale and Wayne",,38.843570,-77.200700,,,,,,0
3358,4830,"Annandale and Franklin",,38.845140,-77.201900,,,,,,0
3359,4831,"Annandale and Masonville",,38.847868,-77.201905,,,,,,0
3360,4832,"Annandale and Mason",,38.849770,-77.201550,,,,,,0
3361,4833,"Annandale and Statecrest",,38.852186,-77.199542,,,,,,0
3362,4835,"Annandale and Hockett",,38.853490,-77.196450,,,,,,0
3363,4836,"Annandale and Brandy",,38.853743,-77.194325,,,,,,0
3364,4837,"Annandale Rd and Hickory Hill Rd",,38.855500,-77.190050,,,,,,0
3365,4838,"Annandale and Slade Run",,38.856990,-77.185330,,,,,,0
3366,4839,"Annandale and Rose",,38.857330,-77.182880,,,,,,0
3367,4841,"Annandale and Beechview",,38.859190,-77.178730,,,,,,0
3368,4843,"Annandale and Gouthier",,38.863830,-77.176410,,,,,,0
3369,4844,"Annandale and Barrett",,38.865940,-77.175170,,,,,,0
3370,4845,"Annandale and Arlington",,38.868630,-77.174530,,,,,,0
3371,4846,"Annandale and Arlington",,38.870440,-77.174510,,,,,,0
3372,4848,"Annandale and Sampson",,38.875590,-77.174340,,,,,,0
3373,4849,"Annandale and Brice",,38.877630,-77.173300,,,,,,0
3374,4850,"Annandale and Scipio",,38.877310,-77.173730,,,,,,0
3375,4851,"Annandale and Sampson",,38.875900,-77.174510,,,,,,0
3376,4852,"Annandale and James Lee",,38.874290,-77.174540,,,,,,0
3377,4853,"Annandale and Jefferson",,38.871950,-77.174640,,,,,,0
3378,4854,"Annandale and Arlington",,38.870480,-77.174730,,,,,,0
3379,4855,"Annandale and Arlington",,38.869008,-77.174784,,,,,,0
3380,4856,"Annandale and Barrett",,38.866342,-77.175101,,,,,,0
3381,4864,"Annandale and Kenfig",,38.861080,-77.178810,,,,,,0
3382,4865,"Annandale and Beachview",,38.859360,-77.178880,,,,,,0
3383,4866,"Annandale and Beachtree",,38.857820,-77.179930,,,,,,0
3384,4867,"Annandale and Blue Heron",,38.857610,-77.181640,,,,,,0
3385,4868,"Annandale and Blundell",,38.857190,-77.184900,,,,,,0
3386,4869,"Annandale Rd and Graham Rd",,38.855800,-77.189820,,,,,,0
3387,4870,"Annandale and Casaleir",,38.854100,-77.192740,,,,,,0
3388,4871,"Annandale and Kimberly",,38.853840,-77.194590,,,,,,0
3389,4872,"Annandale and Hockett",,38.853640,-77.196360,,,,,,0
3390,4873,"Annandale and Sheffield",,38.853140,-77.197990,,,,,,0
3391,4874,"Annandale and Statecrest",,38.852030,-77.199990,,,,,,0
3392,4875,"Annandale and Mason",,38.849770,-77.201720,,,,,,0
3393,4876,"Annandale and Masonville",,38.848310,-77.201990,,,,,,0
3394,4877,"Annandale and Franklin",,38.845160,-77.202140,,,,,,0
3395,4878,"Annandale and Galanis",,38.840900,-77.199660,,,,,,0
3396,4879,"Annandale and Walton",,38.839190,-77.199110,,,,,,0
3397,4880,"Annandale and Hamilton",,38.836860,-77.198360,,,,,,0
3398,4881,"Annandale and Markham",,38.834030,-77.197470,,,,,,0
3399,4882,"Annandale and Maple",,38.832650,-77.196980,,,,,,0
3400,4883,"Annandale and Pine",,38.831450,-77.196620,,,,,,0
3401,5181,"Heritage Dr and Mcwhorter Pl",,38.829900,-77.210330,,,,,,0
3402,5183,"Heritage and Little River",,38.832170,-77.210710,,,,,,0
3403,5185,"Patriot and Forest Glen",,38.828540,-77.213010,,,,,,0
3404,5187,"Patriot and Briarwood North",,38.827720,-77.215670,,,,,,0
3405,5189,"Patriot and Nathan Hale",,38.825860,-77.217010,,,,,,0
3406,5191,"Patriot and Americana",,38.825670,-77.219230,,,,,,0
3407,5204,"Americana and Heritage",,38.832590,-77.211940,,,,,,0
3408,5205,"Americana and 4233",,38.832920,-77.214330,,,,,,0
3409,5206,"Americana and 4267",,38.832800,-77.216410,,,,,,0
3410,5207,"Americana and 4301",,38.830200,-77.218010,,,,,,0
3411,5208,"Americana and Inverton",,38.828050,-77.218700,,,,,,0
3412,5209,"Duncan Dr and Little River Tpk",,38.835390,-77.231230,,,,,,0
3413,5210,"Duncan and Little River",,38.835600,-77.231040,,,,,,0
3414,5211,"Duncan and Branch",,38.834020,-77.230690,,,,,,0
3415,5212,"Duncan and Branch",,38.834070,-77.230580,,,,,,0
3416,5213,"Duncan Dr and Holborn Av",,38.831500,-77.229720,,,,,,0
3417,5214,"Duncan Dr and Holborn Av",,38.831630,-77.229630,,,,,,0
3418,5215,"Duncan and Mockingbird",,38.829040,-77.228710,,,,,,0
3419,5216,"Duncan and Mockingbird",,38.828700,-77.228810,,,,,,0
3420,5217,"Duncan and Briar Creek",,38.827200,-77.229710,,,,,,0
3421,5218,"Duncan and Briar Creek",,38.826780,-77.229640,,,,,,0
3422,5219,"Duncan and Briar Creek",,38.825800,-77.229820,,,,,,0
3423,5220,"Duncan and Briar Creek",,38.826200,-77.229910,,,,,,0
3424,5221,"Toll House and Duncan",,38.825260,-77.230520,,,,,,0
3425,5222,"Toll House and Duncan",,38.825140,-77.230520,,,,,,0
3426,5223,"Toll House and Holborn",,38.824610,-77.234150,,,,,,0
3427,5224,"Toll House and Holborn",,38.824430,-77.234090,,,,,,0
3428,5225,"Toll House and Country",,38.825680,-77.237300,,,,,,0
3429,5226,"Toll House and Country",,38.825760,-77.237240,,,,,,0
3430,5227,"Toll House and Wakefield Chapel",,38.827400,-77.238970,,,,,,0
3431,5228,"Wakefield Chapel and Banff",,38.826400,-77.239400,,,,,,0
3432,5229,"Wakefield Chapel and Banff",,38.826460,-77.239250,,,,,,0
3433,5230,"Wakefield Chapel and Georgian",,38.823280,-77.239410,,,,,,0
3434,5231,"Wakefield Chapel and Georgian",,38.822970,-77.239250,,,,,,0
3435,5232,"Wakefield Chapel and Braeburn",,38.820810,-77.238460,,,,,,0
3436,5233,"Braeburn and King Richard",,38.820450,-77.238480,,,,,,0
3437,5234,"Braeburn and Philadelphia",,38.820194,-77.240614,,,,,,0
3438,5235,"Braeburn and Philadelphia",,38.820090,-77.240630,,,,,,0
3439,5236,"Braeburn and Federal",,38.821100,-77.243060,,,,,,0
3440,5237,"Braeburn and King Carter",,38.820890,-77.243000,,,,,,0
3441,5238,"Braeburn and Regor",,38.822170,-77.244440,,,,,,0
3442,5239,"Braeburn and Regor",,38.822380,-77.244420,,,,,,0
3443,5240,"Braeburn and Ponderosa",,38.823160,-77.245220,,,,,,0
3444,5241,"Braeburn and Pontiac",,38.822710,-77.250390,,,,,,0
3445,5242,"Braeburn and Sleaford",,38.822630,-77.252620,,,,,,0
3446,5243,"Braeburn and Sleaford",,38.822500,-77.253070,,,,,,0
3447,5244,"Braeburn and Willet",,38.822460,-77.255190,,,,,,0
3448,5245,"Braeburn and Willet",,38.822180,-77.255490,,,,,,0
3449,5246,"Braeburn and Springbrook",,38.821832,-77.256747,,,,,,0
3450,5247,"Braeburn and Valerie",,38.822120,-77.258190,,,,,,0
3451,5248,"Braeburn and Valerie",,38.822080,-77.257450,,,,,,0
3452,5249,"Braeburn and Springbrook",,38.821980,-77.256470,,,,,,0
3453,5250,"Braeburn Dr and Guinea Rd",,38.821950,-77.260670,,,,,,0
3454,5251,"Braeburn Dr and Guinea Rd",,38.821710,-77.260500,,,,,,0
3455,5252,"Braeburn and Saranac",,38.825430,-77.260840,,,,,,0
3456,5253,"Braeburn and Saranac",,38.825850,-77.261050,,,,,,0
3457,5254,"Braeburn and Kristin",,38.826950,-77.261390,,,,,,0
3458,5255,"Braeburn and Hillyer",,38.827550,-77.261850,,,,,,0
3459,5256,"Braeburn and Kristin",,38.826730,-77.260940,,,,,,0
3460,5257,"Braeburn and Kilbourne",,38.829990,-77.264110,,,,,,0
3461,5258,"Braeburn and Kilbourne",,38.829960,-77.264350,,,,,,0
3462,5259,"Braeburn and Kilbourne",,38.831040,-77.265690,,,,,,0
3463,5260,"Braeburn Dr and 42226",,38.830850,-77.265710,,,,,,0
3464,5261,"Braeburn and Ashmeade",,38.833110,-77.266280,,,,,,0
