timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
1,2711,"Lorton Station Blvd and Grandwind Dr",,38.708040,-77.212030,,,,,,1
2,3370,"S Lakes Dr and Cabots Point La",,38.932811,-77.334280,,,,,,1
3,3296,"Sherwood Hall La and Davenport St",,38.745060,-77.072010,,,,,,1
4,2120,"Gallows Rd and Trammell Rd",,38.847960,-77.206280,,,,,,1
5,2699,"Little River Tnpk and Markham St",,38.830900,-77.199240,,,,,,0
6,2846,"New Dominion Pkwy and Reston Pkwy",,38.960400,-77.355480,,,,,,1
7,2374,"Herndon Pkwy and Missouri Ave",,38.958050,-77.389730,,,,,,1
8,3566,"Sunrise Valley Dr and Thunder Chase Dr",,38.949880,-77.379980,,,,,,1
9,1942,"Fair Lakes Promenade",,38.860410,-77.368320,,,,,,1
10,1159,"Burke Center Vre",,38.797252,-77.299997,,,,,,1
11,4222,"Lee Jackson Hwy and Meadowland Dr",,38.891955,-77.424985,,,,,,1
12,4293,"Trinity Pkwy and Wood Meadow Way",,38.842343,-77.435702,,,,,,1
13,2380,"Herndon Pkwy and Queens Row St",,38.976720,-77.370940,,,,,,1
14,2319,"Hooes Rd and Linden Tree La",,38.757380,-77.233899,,,,,,1
15,4302,"Walney Rd and Waverly Crossing La",,38.875885,-77.431780,,,,,,1
16,1924,"Fort Hunt Rd and Washington Library",,38.773380,-77.062340,,,,,,1
17,5012,"Sully Station Dr and Braddock Rd",,38.864830,-77.459960,,,,,,1
18,4094,"Fair Lakes Pkwy and Rippling Pond Dr",,38.861316,-77.403050,,,,,,1
19,5566,"Maple Ave and Niblick Dr",,38.910729,-77.250306,,,,,,1
20,610,"Frye Rd and Kidd St",,38.735800,-77.114880,,,,,,1
21,2655,"Lorton Rd and Timarand Dr",,38.703962,-77.217644,,,,,,1
22,2523,"Kingstowne Village Pkwy and Edgeware La",,38.762680,-77.142310,,,,,,1
23,1770,"Dranesville Rd and Powells Tavern Pl",,38.999680,-77.376750,,,,,,1
24,1476,"Braddock Rd and Stone Haven Dr",,38.810640,-77.244490,,,,,,1
25,2657,"Leesburg Pike and Beulah Rd",,38.957710,-77.274590,,,,,,1
26,1921,"Flint Hill Rd and Vale Rd",,38.897815,-77.284987,,,,,,1
27,2705,"Little River and Annandale",,38.830900,-77.198120,,,,,,0
28,5405,"Anderson Rd and Chain Bridge Rd",,38.926258,-77.205413,,,,,,0
29,4265,"Sully Park Dr and Kamputa Dr",,38.852468,-77.457661,,,,,,1
30,840,"Fort Hunt Rd and Hunting Cove Pl",,38.784960,-77.061120,,,,,,1
32,1632,"Colts Neck Rd and Jackstay Ter",,38.930315,-77.363289,,,,,,1
33,1021,"Mt Vernon Hwy and Battersea La N",,38.727490,-77.091130,,,,,,1
34,2286,"Highland St and Dinwiddie St",,38.791610,-77.190540,,,,,,1
35,599,"Sacremento Dr and Richmond Hwy",,38.720750,-77.126020,,,,,,1
36,2511,"Kinross Cir and Scotsmore Way",,38.916950,-77.406900,,,,,,1
37,1520,"Belle View Blvd and Bluebill La",,38.775020,-77.064000,,,,,,1
38,3535,"13861 Sunrise Valley Dr",,38.950790,-77.423830,,,,,,1
39,3042,"Penderbrook Dr and Green Look Ct",,38.865559,-77.355575,,,,,,1
40,1531,"Bennington Woods Rd and Stevenage Rd",,38.968200,-77.358770,,,,,,1
41,2175,"Glade Dr and Triple Crown Rd",,38.927967,-77.351854,,,,,,1
42,2743,"Mulberry Bottom La and Laural Valley Way",,38.746690,-77.216890,,,,,,1
43,1929,"Florida Ave and Alabama Dr",,38.963966,-77.391892,,,,,,1
44,3569,"Sunrise Valley Dr and Wethersfield Ct",,38.945180,-77.342680,,,,,,1
45,4087,"Stringfellow Rd and Brandy Station Rd",,38.892517,-77.404004,,,,,,1
46,6155,"Saratoga P+R",,38.745788,-77.209763,,,,,,1
47,1843,"Elden St and Monroe St",,38.969609,-77.384089,,,,,,1
48,4309,"Wycombe St and Regents Park Rd",,38.843236,-77.456377,,,,,,1
49,4251,"Poplar Tree Rd and Lees Corner Rd",,38.874169,-77.422764,,,,,,1
50,6175,"Pohick Rd and Alban Rd",,38.723532,-77.209561,,,,,,1
51,2356,"1110 Herndon Pkwy",,38.963470,-77.399930,,,,,,1
54,2176,"Glade Dr and Timberhead La",,38.927645,-77.329925,,,,,,1
55,2141,"Gunston Hill La and Groom Cottage Dr",,38.697528,-77.220058,,,,,,1
56,3390,"S Lakes Dr and Soapstone Dr",,38.933515,-77.346103,,,,,,1
57,3444,"Springe Dr and Chamblee Pl",,38.963337,-77.405993,,,,,,1
58,1386,"Bluemont Way and Reston Pkwy",,38.957250,-77.355220,,,,,,1
59,1911,"Fort Hunt Rd and Paul Spring Pkwy",,38.748450,-77.057610,,,,,,1
60,1857,"1264 Elden St",,38.960858,-77.400357,,,,,,1
62,1349,"Beryl Rd and Paula Rd",,38.802276,-77.158854,,,,,,1
63,1722,"Crestleigh Way and Foxleigh Way",,38.755830,-77.168139,,,,,,1
65,2993,"The Parkway and Austin Ave",,38.782370,-77.095380,,,,,,1
66,1189,"Lorton Vre Bay A",,38.714921,-77.214324,,,,,,1
67,5847,"Frontier Dr and Spring Mall Dr",,38.770740,-77.170686,,,,,,1
69,4116,"Blake La and Cyrandall Valley Rd",,38.876240,-77.289650,,,,,,1
70,2071,"Gallows Rd and Arlington Blvd",,38.864310,-77.227990,,,,,,1
71,2572,"Lake Braddock Dr and Bromyard Ct",,38.805440,-77.267210,,,,,,1
72,5400,"Tysons Corner Metro",,38.919864,-77.224763,,,,,,0
