trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1000020,505,2,"505 Wiehle Metro",,1,20502,shp-505-01,1,1
1002070,101,3,"101 Huntington - Metro North",,1,107,shp-101-01,1,1
1006080,101,4,"101 Mt Vernon",,0,808,shp-101-51,1,1
1008080,641,4,"641 St Germain Dr - UM Church P&R",,0,30508,shp-641-52,1,1
1011010,402,1,"402 Franconia- Springfield",,1,13701,shp-402-04,1,1
1016010,505,1,"505 Reston Town Ctr",,0,20501,shp-505-51,1,1
1017080,RIBS1,4,"Ribs 1 Lake Anne - Reston Town Ctr",,1,1108,shp-RIBS1-02,1,2
1018020,631,2,"631 Vienna Metro",,1,28802,shp-631-01,1,1
1020010,371,1,"371 Lorton",,0,10501,shp-371-51,1,1
1028080,650,4,"650 Chantilly",,0,29008,shp-650-51,1,1
103080,632,4,"632 Vienna Metro",,1,29208,shp-632-02,1,1
1032020,983,2,"983 Wiehle Metro",,1,43402,shp-983-01,1,1
1040020,341,2,"341 Saratoga",,0,9402,shp-341-51,1,1
104020,462,2,"462 Dunn Loring - Navy FCU",,0,16702,shp-462-51,1,1
1042080,171,4,"171 Lorton V.R.E.",,0,3708,shp-171-51,1,1
1043010,402,1,"402 Franconia- Springfield",,1,14101,shp-402-04,1,1
1048020,553,2,"553 Reston South - Glade Dr - Viking+Pinecrest",,0,22602,shp-553-51,1,1
1050070,803,3,"803 Annadale",,0,38207,shp-803-52,1,1
105020,351,2,"351 TSA - Franconia-Springfield",,1,10202,shp-351-01,1,1
1051080,373,4,"373 Lorton",,0,10608,shp-373-51,1,1
1058080,926,4,"926 Dranesville Rd - Worldgate",,0,39408,shp-926-51,1,1
1060070,109,3,"109 Crown Royal Huntington",,1,307,shp-109-01,1,1
1064080,463,4,"463 Vienna Metro - Maple Ave",,0,17208,shp-463-51,1,1
1074020,463,2,"463 Vienna Metro - Maple Ave",,0,17302,shp-463-51,1,1
1077070,424,3,"424 Jones Branch Dr",,0,16007,shp-424-53,1,1
1079010,310,1,"310 Rolling Vly Park & Ride",,0,6901,shp-310-51,1,1
1080010,640,1,"640 Vienna Metro",,1,26501,shp-640-02,1,1
1084080,424,4,"424 Jones Branch Dr",,0,16108,shp-424-53,1,1
1090070,308,3,"308 Franconia - Springfield",,1,6107,shp-308-01,1,1
1092070,937,3," 937 Harbor House",,1,40607,shp-937-03,1,1
1098080,152,4,"152 Mt Vernon",,0,1508,shp-152-51,1,1
1101080,557,4,"557 Wiehle Metro",,1,22908,shp-557-02,1,1
11020,334,2,"334 Dla-Newington",,1,9202,shp-334-07,2,1
1115020,698,2,"698 Pentagon",,1,34702,shp-698-01,1,1
1128080,574,4,"574 Tysons Westpark - Spring Hill Metro",,1,24308,shp-574-01,1,1
113080,467,4,"467 Tysons Corner",,1,16708,shp-467-01,1,1
1134020,650,2,"650 Vienna Metro",,1,31102,shp-650-01,1,1
1136080,574,4,"574 Tysons Westpark - Spring Hill Metro",,1,24208,shp-574-01,1,1
1139020,462,2,"462 Dunn Loring - Navy FCU",,0,17102,shp-462-51,1,1
1141080,RIBS1,4,"Ribs 1 Lake Anne - Reston Town Ctr",,1,1208,shp-RIBS1-01,1,2
